prefecture,year,population,capital,region,estimated_area,island
Aichi-ken,1898.9167,1639611,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1903.9167,1752042,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1908.9167,1886739,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1913.9167,2073224,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1918.9167,2140077,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1920.75,2089762,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1925.75,2319494,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1930.75,2567413,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1935.75,2862701,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1940.75,3166592,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1944.25,3280206,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1945.8333,2857851,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1946.3333,2919085,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1947.75,3122902,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1948.5833,3226116,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1950.75,3390585,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1955.75,3769209,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1960.75,4206313,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1965.75,4798653,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1970.75,5386163,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1975.75,5923569,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1980.75,6221638,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1985.75,6455172,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1990.75,6690603,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,1995.75,6868336,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,2000.75,7043300,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,2005.75,7254704,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,2010.75,7410719,Nagoya-shi,Chubu,5165.12,Honshu
Aichi-ken,2015.75,7484094,Nagoya-shi,Chubu,5165.12,Honshu
Akita-ken,1872.1667,582297,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1873,581859,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1874,596641,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1875,604114,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1876,609420,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1877,613389,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1878,616148,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1879,621130,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1880,618833,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1881,625506,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1882,628435,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1883,633203,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1884,640575,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1885,639259,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1886,644367,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1886.9167,654037,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1887.9167,662917,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1888.9167,682928,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1889.9167,690122,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1890.9167,697298,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1891.9167,703482,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1892.9167,712738,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1893.9167,720871,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1894.9167,726974,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1895.9167,737922,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1896.9167,748358,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1897.9167,757041,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1898.9167,781129,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1903.9167,837665,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1908.9167,892650,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1913.9167,943628,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1918.9167,977212,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1920.75,898537,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1925.75,936408,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1930.75,987706,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1935.75,1037744,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1940.75,1052275,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1944.25,1048769,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1945.8333,1211871,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1946.3333,1195813,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1947.75,1257398,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1948.5833,1283710,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1950.75,1309031,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1955.75,1348871,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1960.75,1335580,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1965.75,1279835,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1970.75,1241376,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1975.75,1232481,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1980.75,1256745,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1985.75,1254032,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1990.75,1227478,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,1995.75,1213667,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,2000.75,1189279,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,2005.75,1145501,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,2010.75,1085997,Akita-shi,Tohoku,11636.28,Honshu
Akita-ken,2015.75,1022839,Akita-shi,Tohoku,11636.28,Honshu
Aomori-ken,1872.1667,473244,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1873,473317,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1874,473098,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1875,484428,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1876,489245,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1877,462865,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1878,464985,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1879,468517,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1880,475413,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1881,484274,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1882,487687,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1883,488505,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1884,493137,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1885,495182,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1886,499549,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1886.9167,515779,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1887.9167,523226,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1888.9167,530292,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1889.9167,538110,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1890.9167,545026,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1891.9167,551389,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1892.9167,559391,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1893.9167,567002,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1894.9167,574235,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1895.9167,584459,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1896.9167,589557,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1897.9167,600294,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1898.9167,617531,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1903.9167,665691,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1908.9167,721127,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1913.9167,764485,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1918.9167,797841,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1920.75,756454,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1925.75,812977,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1930.75,879914,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1935.75,967129,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1940.75,1000509,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1944.25,1009104,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1945.8333,1083250,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1946.3333,1089232,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1947.75,1180245,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1948.5833,1218325,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1950.75,1282867,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1955.75,1382523,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1960.75,1426606,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1965.75,1416591,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1970.75,1427520,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1975.75,1468646,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1980.75,1523907,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1985.75,1524448,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1990.75,1482873,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,1995.75,1481663,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,2000.75,1475728,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,2005.75,1436657,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,2010.75,1373339,Aomori-shi,Tohoku,9644.55,Honshu
Aomori-ken,2015.75,1308649,Aomori-shi,Tohoku,9644.55,Honshu
Chiba-ken,1872.1667,NA,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1873,NA,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1874,1043189,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1875,1055373,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1876,1061664,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1877,1071142,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1878,1078635,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1879,1099676,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1880,1103292,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1881,1108678,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1882,1117696,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1883,1124085,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1884,1113651,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1885,1118109,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1886,1125375,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1886.9167,1141621,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1887.9167,1159287,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1888.9167,1172138,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1889.9167,1184062,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1890.9167,1191353,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1891.9167,1196785,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1892.9167,1205153,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1893.9167,1215742,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1894.9167,1221631,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1895.9167,1230385,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1896.9167,1239660,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1897.9167,1245874,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1898.9167,1275376,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1903.9167,1316547,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1908.9167,1358445,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1913.9167,1401587,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1918.9167,1395746,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1920.75,1336155,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1925.75,1399257,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1930.75,1470121,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1935.75,1546394,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1940.75,1588425,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1944.25,1659345,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1945.8333,1966862,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1946.3333,2008568,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1947.75,2112917,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1948.5833,2140511,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1950.75,2139037,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1955.75,2205060,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1960.75,2306010,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1965.75,2701770,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1970.75,3366624,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1975.75,4149147,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1980.75,4735424,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1985.75,5148163,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1990.75,5555429,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,1995.75,5797782,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,2000.75,5926285,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,2005.75,6056462,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,2010.75,6216289,Chiba-shi,Kanto,5156.61,Honshu
Chiba-ken,2015.75,6224027,Chiba-shi,Kanto,5156.61,Honshu
Ehime-ken,1872.1667,NA,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1873,NA,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1874,786408,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1875,791522,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1876,793214,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1877,1394091,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1878,1403693,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1879,1432627,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1880,1438895,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1881,1453472,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1882,1472680,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1883,1491614,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1884,1511820,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1885,1527562,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1886,1529375,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1886.9167,1533988,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1887.9167,1557257,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1888.9167,906414,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1889.9167,921708,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1890.9167,926972,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1891.9167,933510,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1892.9167,940009,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1893.9167,942632,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1894.9167,945101,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1895.9167,956166,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1896.9167,964079,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1897.9167,971955,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1898.9167,995441,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1903.9167,1034962,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1908.9167,1057547,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1913.9167,1097989,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1918.9167,1128039,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1920.75,1046720,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1925.75,1096366,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1930.75,1142122,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1935.75,1164898,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1940.75,1178705,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1944.25,1186491,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1945.8333,1361484,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1946.3333,1380700,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1947.75,1453887,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1948.5833,1481106,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1950.75,1521878,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1955.75,1540628,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1960.75,1500687,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1965.75,1446384,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1970.75,1418124,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1975.75,1465215,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1980.75,1506637,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1985.75,1529983,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1990.75,1515025,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,1995.75,1506700,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,2000.75,1493092,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,2005.75,1467815,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,2010.75,1431493,Matsuyama-shi,Shikoku,5678.33,Shikoku
Ehime-ken,2015.75,1385840,Matsuyama-shi,Shikoku,5678.33,Shikoku
Fukui-ken,1872.1667,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1873,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1874,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1875,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1876,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1877,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1878,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1879,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1880,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1881,NA,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1882,577717,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1883,582210,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1884,583065,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1885,591669,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1886,592331,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1886.9167,585776,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1887.9167,590548,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1888.9167,596704,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1889.9167,602342,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1890.9167,603444,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1891.9167,605014,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1892.9167,607450,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1893.9167,610550,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1894.9167,613486,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1895.9167,618203,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1896.9167,619273,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1897.9167,612620,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1898.9167,621468,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1903.9167,635881,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1908.9167,630439,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1913.9167,651513,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1918.9167,636847,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1920.75,599155,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1925.75,597899,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1930.75,618144,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1935.75,646659,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1940.75,643904,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1944.25,621933,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1945.8333,724856,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1946.3333,695703,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1947.75,726264,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1948.5833,733374,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1950.75,752374,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1955.75,754055,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1960.75,752696,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1965.75,750557,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1970.75,744230,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1975.75,773599,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1980.75,794354,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1985.75,817633,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1990.75,823585,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,1995.75,826996,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,2000.75,828944,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,2005.75,821592,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,2010.75,806314,Fukui-shi,Chubu,4189.88,Honshu
Fukui-ken,2015.75,787099,Fukui-shi,Chubu,4189.88,Honshu
Fukuoka-ken,1872.1667,1341006,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1873,1352522,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1874,1367209,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1875,1377028,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1876,1395619,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1877,1064050,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1878,1070244,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1879,1087604,Fukuoka-shi,Kyushu,4978.51,Kyushu
Fukuoka-ken,1880,1097215,Fukuoka-shi,Kyushu,4978.51,Kyushu
