,Price,Make,Model,Year,Mileage,Fuel Type,Body Type,Engine Size (Litres),Power
41,139950.0,Ferrari,Other,2010,48000.0,Petrol,Cabriolet,4.3,
43,,Hyundai,i20,2014,148582.0,Diesel,Hatchback,1.4,90.0
44,950.0,Chevrolet,Lacetti,2009,,Petrol,Estate,1.6,
45,17500.0,Volkswagen,Beetle,2016,87224.0,Petrol,Hatchback,1.2,105.0
46,8950.0,Subaru,Outback,2012,197948.82,Diesel,Estate,2.0,150.0
47,29800.0,BMW,4-Series,2015,89129.0,Diesel,Cabriolet,2.0,184.0
48,25950.0,SEAT,Arona,2020,16000.0,Petrol,SUV,1.0,115.0
49,10600.0,Ford,Fiesta,2014,67122.0,Petrol,Hatchback,1.2,60.0
50,9950.0,Nissan,Juke,2014,87000.0,Petrol,SUV,1.6,117.0
51,25500.0,Mitsubishi,Lancer,2005,109435.12,Petrol,Saloon,2.0,
52,5995.0,Opel,Corsa,2010,91000.0,Petrol,Hatchback,1.2,
53,13900.0,Toyota,Yaris,2015,80467.0,Petrol,Hatchback,1.0,
54,29440.0,Dacia,Jogger,2022,50.0,Petrol,Crossover,1.0,110.0
55,41950.0,Hyundai,Santa Fe,2019,60086.0,Diesel,SUV,2.2,200.0
56,2950.0,Opel,Insignia,2009,,Diesel,Hatchback,2.0,
57,5250.0,Volkswagen,Caddy,2013,279877.1007,Diesel,MPV,1.6,
58,12450.0,Mercedes,SL-Class,2003,170584.0,Petrol,Cabriolet,3.7,
59,15850.0,BMW,3-Series,2013,236572.98,Diesel,Saloon,2.0,184.0
60,109945.0,Audi,Q7,2022,14850.0,Hybrid,Estate,3.0,
61,20250.0,Hyundai,Santa Fe,2018,183001.0,Diesel,Van,2.2,
62,26950.0,Volkswagen,Taigo,2022,15874.0,Petrol,SUV,1.0,95.0
64,56950.0,Porsche,Panamera,2016,150344.0,Petrol Plug-in Hybrid,Hatchback,3.0,416.0
65,26499.0,BMW,5-Series,2017,115399.0,Diesel,Saloon,2.0,190.0
66,23900.0,BMW,X3,2016,209397.0,Diesel,SUV,2.0,190.0
67,11900.0,Renault,Clio,2016,55200.0,Petrol,Hatchback,1.1,75.0
68,,Audi,A3,2018,97931.0,Diesel,Hatchback,1.6,116.0
69,10950.0,Peugeot,2008,2016,94944.0,Petrol,SUV,1.2,82.0
70,2750.0,Opel,Astra,2010,333133.38,Diesel,Hatchback,1.7,
71,74995.0,BMW,M2,2020,15921.0,Petrol,Coupe,3.0,411.0
72,14888.0,Toyota,Yaris,2015,104002.0,Hybrid,Hatchback,1.5,100.0
73,9500.0,Peugeot,RCZ,2012,123919.18,Diesel,Coupe,2.0,163.0
74,34110.0,Ford,Ranger,2019,113200.0,Diesel,Van,3.2,
75,8495.0,Suzuki,Splash,2013,48000.0,Petrol,Hatchback,1.0,65.0
76,12000.0,Hyundai,ix35,2014,99779.08,Diesel,SUV,1.7,115.0
77,5999.0,Volkswagen,Golf,2010,262322.42,Diesel,Hatchback,2.0,
78,4900.0,Volkswagen,CC,2011,308993.28,Diesel,Coupe,2.0,140.0
79,21949.0,Audi,A6,2015,119621.0,Diesel,Saloon,2.0,190.0
80,15950.0,Volkswagen,Tiguan,2014,128747.2,Diesel,SUV,2.0,110.0
81,30203.0,Dacia,Duster,2022,0.0,Diesel,SUV,1.5,115.0
82,6730.0,Nissan,X-Trail,2012,326213.218,Diesel,SUV,2.0,150.0
83,1200.0,Nissan,Micra,2003,77248.32,Petrol,Hatchback,1.0,
84,14227.0,Volkswagen,Transporter,2017,194000.0,Diesel,Van,2.0,
85,19999.0,Nissan,Skyline,2010,117000.0,Petrol Hybrid,Saloon,3.5,
86,13450.0,Volkswagen,Golf,2016,225307.6,Diesel,Hatchback,1.6,110.0
87,5450.0,Peugeot,Partner,2014,280000.0,Diesel,MPV,1.6,
88,4950.0,Renault,Megane,2013,233000.0,Diesel,Hatchback,1.5,110.0
89,23950.0,Suzuki,Vitara,2021,19000.0,Petrol,SUV,1.4,129.0
90,18000.0,Renault,Clio,2020,37000.0,Petrol,Hatchback,1.0,100.0
93,19800.0,Renault,Clio,2021,26529.0,Petrol,Hatchback,1.0,100.0
94,,SEAT,Ateca,2022,,Diesel,SUV,2.0,115.0
95,6700.0,Hyundai,i40,2013,209.2142,Diesel,Saloon,1.7,116.0
97,,Toyota,Camry,2022,,Hybrid,Saloon,2.487,218.0
98,19050.0,Jaguar,XF,2016,156305.5382,Diesel,Saloon,2.0,180.0
99,3500.0,Renault,Kangoo,2011,195000.0,Diesel,MPV,1.5,
100,29000.0,Toyota,RAV4,2018,,Petrol Hybrid,SUV,2.5,197.0
101,14950.0,BMW,3-Series,2016,160934.0,Diesel,Saloon,2.0,150.0
102,4950.0,Opel,Astra,2013,236572.98,Petrol,Saloon,1.4,100.0
103,9950.0,Audi,A3,2011,98000.0,Petrol,Hatchback,1.4,125.0
104,3400.0,Volkswagen,Touareg,2007,,Diesel,SUV,2.5,
105,28074.15,Nissan,Navara,2019,26634.577,Diesel,Pick Up,2.3,
106,1500.0,Volkswagen,Polo,2006,231372.0,Petrol,Hatchback,1.2,
107,,Nissan,Juke,2012,80000.0,Petrol,SUV,1.6,94.0
108,19950.0,Ford,Kuga,2017,190039.0,Diesel,MPV,2.0,
109,31700.0,KIA,Sportage,2020,43439.0,Diesel,SUV,1.6,115.0
110,4900.0,Volkswagen,Passat,2010,212.0,Diesel,Saloon,1.6,
111,4000.0,Ford,Transit Connect,2011,193120.8,Diesel,Van,1.8,
112,2500.0,Mercedes,Sprinter,2005,1.0,Diesel,Van,2.1,
113,30850.0,Audi,A4,2019,151376.0,Diesel,Saloon,2.0,
114,13600.0,Opel,Astra,2017,132276.0,Diesel,Hatchback,1.6,
115,49950.0,BMW,X5,2017,123226.0,Diesel,Estate,2.0,231.0
116,15950.0,Ford,EcoSport,2017,169093.0,Diesel,Hatchback,1.5,
117,12950.0,Opel,Insignia,2016,169781.0,Diesel,Hatchback,1.6,
118,29950.0,Alfa Romeo,Giulia,2019,138112.0,Diesel,Saloon,2.2,
119,25600.0,Toyota,C-HR,2018,145830.0,Hybrid,Hatchback,1.8,
120,19950.0,Volkswagen,Passat,2017,191635.0,Diesel,Estate,2.0,
121,23600.0,Toyota,RAV4,2017,191611.0,Diesel,Estate,2.0,
122,15850.0,Ford,Fiesta,2018,111471.0,Diesel,Hatchback,1.5,
123,11500.0,Dacia,Duster,2016,125000.0,Diesel,SUV,1.5,110.0
124,14950.0,Opel,Movano,2017,139000.0,Diesel,MPV,2.3,
125,12900.0,Audi,A7,2011,297727.9,Diesel,Hatchback,3.0,204.0
126,13850.0,SEAT,Ibiza,2018,74685.0,Petrol,Hatchback,1.0,
127,19700.0,Audi,A4,2016,164578.0,Petrol,Saloon,1.4,
128,16600.0,Ford,Focus,2018,157348.0,Diesel,Hatchback,1.5,
129,18850.0,Volkswagen,Passat,2017,188125.0,Diesel,Saloon,2.0,
130,5950.0,Toyota,Passo,2013,90000.0,Petrol,Hatchback,1.0,87.0
131,31900.0,Mercedes,E-Class,2017,160768.0,Diesel,Saloon,2.0,
132,16900.0,Skoda,Octavia,2018,187651.0,Diesel,Hatchback,1.6,
133,15949.0,Skoda,Superb,2016,201502.0,Diesel,Estate,1.6,120.0
134,26950.0,Mercedes,A-Class,2018,80450.0,Diesel,Hatchback,1.5,109.0
135,16800.0,Skoda,Octavia,2017,174882.0,Diesel,Estate,1.6,
136,18600.0,Mercedes,A-Class,2016,200883.0,Diesel,Hatchback,1.5,
137,24600.0,Audi,A4,2018,195454.0,Diesel,Estate,2.0,
138,16950.0,Audi,A3,2017,118026.0,Diesel,Hatchback,1.6,
139,14850.0,SEAT,Ibiza,2018,148944.0,Petrol,Hatchback,1.0,
140,15750.0,Audi,A3,2016,164864.0,Diesel,Hatchback,1.6,
141,5995.0,SEAT,Ibiza,2011,250290.0,Diesel,MPV,1.2,75.0
142,26800.0,Audi,A6,2017,159529.0,Diesel,Saloon,2.0,
143,46750.0,Audi,A4,2021,27227.0,Diesel,Saloon,2.0,
144,15950.0,Volvo,V40,2016,81000.0,Diesel,Hatchback,2.0,120.0
145,20600.0,Nissan,Qashqai,2018,187895.0,Diesel,SUV,1.5,
146,24800.0,Mercedes,CLA-Class,2017,191975.0,Diesel,Saloon,2.1,
148,19600.0,BMW,3-Series,2017,249253.0,Hybrid,Saloon,2.0,
149,17950.0,Mazda,CX-5,2017,168445.0,Diesel,Estate,2.2,
150,24800.0,Mitsubishi,Outlander,2017,128583.0,Hybrid,Estate,2.0,203.0
151,49900.0,Volvo,XC90,2018,172005.0,Diesel,MPV,2.0,235.0
152,14850.0,Ford,Fiesta,2018,160543.0,Diesel,Hatchback,1.5,
153,13950.0,Opel,Astra,2017,87453.0,Diesel,Hatchback,1.6,
154,16600.0,Volvo,V40,2018,117672.0,Diesel,Hatchback,2.0,
155,8995.0,Peugeot,Expert,2012,172559.8722,Diesel,MPV,2.0,120.0
156,5750.0,Renault,Megane,2011,125842.3413,Petrol,Coupe,1.4,
157,59990.0,BMW,5-Series,2021,27358.78,Petrol Plug-in Hybrid,Saloon,2.0,
158,13500.0,Ford,Transit Custom,2016,142000.0,Diesel,Van,2.2,
159,32680.0,Fiat,Ducato,2022,0.0,Diesel,Van,2.2,
161,12500.0,Opel,Vivaro,2016,,Diesel,Van,1.6,
163,8950.0,BMW,1-Series,2013,130000.0,Diesel,Hatchback,2.0,116.0
164,1.0,Volkswagen,Tiguan,2019,64465.0,Diesel,MPV,2.0,150.0
165,11000.0,Volkswagen,Polo,2017,79000.0,Petrol,Hatchback,1.0,60.0
166,15500.0,Nissan,NV300,2018,160000.0,Diesel,Van,1.6,
167,16400.0,Mini,Cooper,2017,135790.0,Diesel,Hatchback,1.5,
168,21800.0,Volkswagen,Passat,2018,178442.0,Diesel,Saloon,2.0,
169,15600.0,Toyota,Avensis,2017,183722.0,Diesel,Saloon,1.6,
170,15850.0,Mazda,6,2017,166864.0,Diesel,Saloon,2.2,
171,20950.0,Volkswagen,Passat,2018,190724.0,Diesel,Estate,1.6,
172,19900.0,Ford,Mondeo,2018,184730.0,Diesel,Hatchback,2.0,
173,18400.0,Jaguar,XE,2016,204209.0,Diesel,Saloon,2.0,
174,18950.0,Volkswagen,Golf,2017,181952.0,Diesel,Hatchback,1.6,
175,32800.0,BMW,5-Series,2018,169734.0,Hybrid,Saloon,2.0,
176,16600.0,KIA,Ceed,2018,90281.0,Diesel,Hatchback,1.6,
177,17950.0,Skoda,Yeti,2017,174996.0,Diesel,Hatchback,2.0,
178,8600.0,KIA,RIO,2014,102997.76,Petrol,Hatchback,1.2,84.0
179,16950.0,Volvo,S60,2017,165707.0,Diesel,Saloon,2.0,
180,26900.0,KIA,Sportage,2018,59213.0,Diesel,SUV,1.7,141.0
181,18495.0,Volkswagen,Polo,2020,27670.0,Petrol,Hatchback,1.0,80.0
182,18700.0,SEAT,Leon,2018,143783.0,Diesel,Hatchback,1.6,
183,18950.0,Volkswagen,Golf,2018,169155.0,Diesel,Hatchback,2.0,
184,17600.0,BMW,2-Series,2017,147364.0,Diesel,MPV,1.5,
185,15850.0,Mini,Cooper,2017,142892.0,Diesel,Hatchback,1.5,
186,15950.0,Volvo,V40,2017,176765.0,Diesel,Hatchback,2.0,
187,27600.0,Peugeot,3008,2019,112457.0,Diesel,MPV,1.5,
188,20995.0,Suzuki,Vitara,2021,29500.0,Petrol,SUV,1.4,129.0
189,2000.0,Skoda,Octavia,2009,300000.0,Petrol,Hatchback,1.4,
190,11950.0,Nissan,Qashqai,2015,108000.0,Diesel,Hatchback,1.5,110.0
191,25950.0,Peugeot,3008,2017,72143.0,Diesel,Hatchback,1.6,
192,7400.0,Opel,Insignia,2014,222050.0,Diesel,Hatchback,2.0,
193,15600.0,Ford,Focus,2017,169383.0,Diesel,Hatchback,1.5,
194,17900.0,Renault,Kadjar,2017,171955.0,Diesel,Hatchback,1.5,
195,15750.0,Volvo,V60,2017,178257.0,Diesel,Estate,2.0,
196,15000.0,BMW,5-Series,2013,210000.0,Diesel,Estate,2.0,177.0
197,19950.0,Volvo,V60,2018,187103.0,Diesel,Estate,2.0,
198,25995.0,Nissan,Qashqai,2019,90578.0,Diesel,MPV,1.5,110.0
199,17700.0,Audi,A3,2017,184776.0,Diesel,Hatchback,1.6,
200,14850.0,Ford,Fiesta,2018,171618.0,Diesel,Hatchback,1.5,
201,29600.0,Land Rover,Range Rover Evoque,2017,165928.0,Diesel,Estate,2.0,
202,24600.0,Peugeot,3008,2018,156030.0,Diesel,Hatchback,1.6,
203,15950.0,Audi,A3,2016,176714.0,Diesel,Hatchback,1.6,
204,22800.0,Honda,CR-V,2018,130765.0,Diesel,Estate,1.6,
205,17950.0,Hyundai,Tucson,2016,171947.0,Diesel,Estate,1.7,
206,14600.0,Ford,Focus,2016,188505.0,Diesel,Hatchback,1.5,
207,16600.0,Volkswagen,Passat,2017,188885.0,Diesel,Saloon,1.6,
208,33600.0,Audi,A5,2018,171784.0,Diesel,Hatchback,2.0,
209,22600.0,Nissan,Qashqai,2019,151722.0,Diesel,Hatchback,1.5,
210,8555.0,Audi,A4,2011,281681.0,Diesel,Saloon,2.0,136.0
211,19800.0,Skoda,Superb,2018,178027.0,Diesel,Estate,2.0,
212,39950.0,BMW,5-Series,2019,164798.0,Diesel,Estate,2.0,
213,18700.0,Ford,Focus,2019,111838.0,Petrol,Hatchback,1.0,
214,17700.0,SEAT,Leon,2018,159510.0,Diesel,Hatchback,1.6,
215,19000.0,Lincoln,Continental,1965,2000.0,Petrol,Saloon,7.0,
217,15995.0,Volkswagen,Polo,2018,47703.0,Petrol,Hatchback,1.0,65.0
218,13800.0,Hyundai,i30,2018,199170.0,Diesel,Hatchback,1.6,110.0
219,8600.0,Audi,A4,2011,229759.0,Diesel,Saloon,2.0,143.0
220,5950.0,BMW,3-Series,2004,144840.6,Petrol,Coupe,2.5,
221,17800.0,Peugeot,508,2018,140045.0,Diesel,Saloon,1.6,
223,44995.0,BMW,X3,2018,59955.0,Diesel,SUV,2.0,190.0
224,3250.0,Nissan,Qashqai,2009,20000.0,Diesel,Hatchback,1.5,
225,28750.0,Audi,A6,2016,93341.72,Diesel,Saloon,2.0,190.0
226,46950.0,Volkswagen,Tiguan Allspace,2021,45061.52,Diesel,SUV,2.0,150.0
227,14950.0,Mini,Cooper,2014,115940.0,Petrol,Hatchback,2.0,
229,6500.0,Volkswagen,Golf,2011,298000.0,Diesel,Hatchback,1.6,105.0
230,,Opel,Grandland X,2021,54961.0,Diesel,MPV,1.5,130.0
231,23950.0,Volkswagen,T-Roc,2018,76500.0,Diesel,SUV,1.6,115.0
234,22495.0,Dacia,Duster,2020,12079.0,Petrol,SUV,1.0,100.0
235,15151.5,Toyota,Hilux,2014,154496.64,Diesel,Pick Up,2.5,
237,2600.0,Renault,Fluence,2011,270000.0,Diesel,Saloon,1.5,110.0
238,22800.0,BMW,4-Series,2017,149668.62,Diesel,Coupe,2.0,190.0
239,23495.0,Nissan,Qashqai,2018,36624.0,Petrol,Crossover,1.2,115.0
240,3550.0,BMW,5-Series,2007,2704590.0,Diesel,Saloon,2.0,
241,17500.0,Ford,Ranger,2014,124401.982,Diesel,Crew Cab,2.2,
242,3700.0,Toyota,Yaris,2008,,Petrol,Hatchback,1.0,
243,2106.0,Toyota,Celica,2005,125000.0,Petrol,Coupe,1.8,
244,1850.0,Ford,Focus,2008,318250.2037,Diesel,Hatchback,1.6,
245,65950.0,Mercedes,E-Class,2021,29825.89822,Diesel Hybrid,Saloon,2.0,
246,4500.0,Nissan,Qashqai,2010,29906179.0,Diesel,Hatchback,1.5,
248,36950.0,Mercedes,GLC-Class,2017,46901.0,Diesel,SUV,2.1,170.0
249,21950.0,Renault,Kadjar,2018,81093.0,Diesel,SUV,1.5,110.0
250,21500.0,SEAT,Leon,2017,122000.0,Diesel,Estate,2.0,150.0
251,14950.0,Volkswagen,Golf,2015,216256.0,Diesel,Hatchback,1.6,110.0
252,6450.0,Volkswagen,Passat,2011,252666.38,Diesel,Saloon,2.0,140.0
253,10950.0,Volkswagen,Golf,2013,195225.8167,Diesel,Hatchback,1.6,105.0
254,6000.0,Volkswagen,Golf,2010,275000.0,Diesel,Hatchback,1.6,
255,4250.0,Vauxhall,Insignia,2012,244629.336,Diesel,Saloon,2.0,
256,9990.0,Opel,Astra,2016,167585.0,Diesel,Hatchback,1.6,110.0
257,6490.0,Nissan,Qashqai,2012,197580.0,Diesel,Hatchback,1.5,106.0
258,10990.0,Renault,Megane,2016,77095.0,Diesel,Hatchback,1.5,95.0
259,4990.0,Ford,Focus,2011,212059.5131,Diesel,Hatchback,1.6,109.0
260,27950.0,Land Rover,Discovery,2015,173105.0,Diesel,SUV,3.0,211.0
261,16995.0,Renault,Clio,2019,38000.0,Petrol,Hatchback,0.9,90.0
262,10300.0,Opel,Astra,2015,176705.532,Petrol,Hatchback,1.4,
263,21700.0,Audi,A4,2018,198431.622,Diesel,Saloon,2.0,
264,12800.0,SEAT,Ibiza,2017,158359.056,Diesel,Hatchback,1.4,
265,35168.0,Renault,Captur,2022,0.0,Petrol,Crossover,1.0,90.0
266,100000.0,Tesla,MODEL X,2019,41660.0,Electric,Hatchback,,443.0
267,,Nissan,NV200,2017,190000.0,Diesel,Van,1.5,
268,6000.0,Volkswagen,Jetta,2011,239000.0,Diesel,Saloon,1.6,105.0
269,32500.0,Mercedes,CL-Class,2011,128000.0,Petrol,Coupe,4.7,435.0
270,6429.15,BMW,X1,2011,289681.2,Diesel,Hatchback,2.0,
271,23950.0,Skoda,Octavia,2019,58000.0,Diesel,Saloon,1.6,115.0
272,27950.0,SEAT,Arona,2021,9644.0,Petrol,SUV,1.0,110.0
273,25450.0,Volkswagen,Polo,2022,100.0,Petrol,Hatchback,1.0,95.0
275,3000.0,Volkswagen,Golf,2008,267000.0,Diesel,Hatchback,1.9,
276,56990.0,BMW,X3,2019,33000.0,Diesel,SUV,2.0,190.0
277,25950.0,Volkswagen,Touareg,2013,179000.0,Diesel,SUV,3.0,204.0
278,25945.0,Nissan,Qashqai,2019,72436.0,Petrol,MPV,1.3,160.0
279,7750.0,BMW,1-Series,2012,257494.4,Diesel,Hatchback,2.0,184.0
280,4500.0,Nissan,Micra,2008,95252.0,Petrol,Hatchback,1.2,
281,12950.0,Honda,Fit,2016,83260.0,Hybrid,Hatchback,1.5,
282,12450.0,Ford,Focus,2014,169920.0,Diesel,Hatchback,1.6,95.0
283,29500.0,Mercedes,GLA-Class,2018,48243.0,Diesel,SUV,1.5,109.0
284,46500.0,BMW,5-Series,2020,30000.0,Diesel,Saloon,2.0,184.0
285,3000.0,Renault,Grand Modus,2010,218287.6589,Petrol,MPV,1.1,
286,3450.0,Toyota,Yaris,2008,125528.52,Petrol,Hatchback,1.0,
287,1234.0,Skoda,Octavia,2015,241401.0,Diesel,Hatchback,1.6,105.0
288,34995.0,Volkswagen,Tiguan,2019,46591.0,Diesel,SUV,2.0,150.0
289,1500.0,Skoda,Octavia,2007,,Petrol,Hatchback,1.4,
290,4450.0,Opel,Astra,2012,169430.0,Diesel,MPV,1.2,95.0
292,27495.0,Nissan,Qashqai,2019,51210.0,Diesel,Crossover,1.5,110.0
293,35945.0,Volkswagen,Golf,2018,91402.0,Petrol,Hatchback,2.0,245.0
294,12995.0,Audi,A4,2014,165000.0,Diesel,Estate,2.0,150.0
295,16350.0,Audi,A6,2012,202776.84,Diesel,Estate,3.0,204.0
296,26950.0,Mercedes,B-Class,2018,64300.0,Diesel,MPV,1.5,90.0
299,3850.0,Audi,A6,2008,273587.8,Diesel,Saloon,2.0,
300,19750.0,Ford,Focus,2019,110642.125,Petrol,Hatchback,1.0,
301,,Nissan,Micra,2022,,Petrol,Hatchback,1.0,
303,64950.0,Land Rover,Range Rover,2016,59545.58,Diesel,SUV,3.0,
304,1500.0,Ford,Transit,2008,245956.0,Diesel,Van,2.4,
305,8950.0,Volkswagen,Touran,2013,209214.2,Diesel,MPV,1.6,105.0
306,18900.0,BMW,5-Series,2014,162832.0,Diesel,Saloon,2.0,
307,6000.0,Peugeot,Partner,2010,168497.898,Diesel,MPV,1.6,
308,45900.0,Ford,Kuga,2022,5.0,Hybrid,Crossover,2.5,190.0
309,1.0,Audi,e-tron,2022,,Electric,SUV,,
310,36000.0,Audi,S3,2017,148369.8826,Petrol,Saloon,2.0,
311,8950.0,Opel,Insignia,2016,152887.3,Diesel,Saloon,1.6,136.0
312,600.0,Ford,Fiesta,2007,190000.0,Petrol,Hatchback,1.2,
314,34995.0,Nissan,X-Trail,2019,72000.0,Diesel,SUV,1.6,130.0
315,13995.0,Hyundai,i10,2021,41389.0,Petrol,Hatchback,1.0,67.0
316,25950.0,Volkswagen,Touareg,2013,179000.0,Diesel,SUV,3.0,204.0
317,16900.0,Ford,Fiesta,2018,31911.0,Petrol,Hatchback,1.1,
318,9500.0,Citroen,Berlingo,2016,67125.0,Diesel,MPV,1.6,
319,29950.0,Ford,Mondeo,2018,47884.0,Diesel,Hatchback,2.0,150.0
322,19831.5,Mercedes,E-Class,2016,151277.96,Diesel,Saloon,2.0,
323,14750.0,Volkswagen,Golf,2016,222088.92,Diesel,Hatchback,1.6,110.0
324,63900.0,Mercedes,E-Class,2021,22846.0,Hybrid,Saloon,2.0,306.0
325,45400.0,Audi,A6,2020,46671.0,Diesel,Saloon,2.0,
326,29800.0,Volkswagen,Golf,2018,79854.0,Diesel,Hatchback,2.0,184.0
327,74900.0,Volvo,XC90,2020,33460.0,Diesel,MPV,2.0,235.0
328,58900.0,BMW,5-Series,2021,7987.0,Hybrid,Saloon,2.0,
329,23495.0,Opel,Grandland X,2018,71797.0,Petrol,MPV,1.2,130.0
330,16950.0,Toyota,Yaris,2016,96419.0,Hybrid,Hatchback,1.5,100.0
332,9950.0,Toyota,Aqua,2016,115872.48,Petrol Hybrid,Hatchback,1.5,112.0
333,9301.5,Mercedes,E-Class,2012,140633.7852,Diesel,Saloon,2.1,136.0
334,7250.0,Hyundai,Veloster,2012,116000.0,Petrol,Hatchback,1.6,140.0
336,47225.0,MG,HS PHEV,2022,0.0,Hybrid,SUV,1.5,
338,3700.0,Hyundai,i10,2010,135.0,Petrol,Hatchback,1.2,
339,11950.0,Mercedes,Other,2017,265541.1,Diesel,Van,1.6,
340,26100.0,Mitsubishi,L200,2019,111044.46,Diesel,Pick Up,2.4,
341,34950.0,Volkswagen,Arteon,2019,82500.0,Diesel,Hatchback,2.0,150.0
342,2750.0,Ford,Focus,2009,250000.0,Diesel,Hatchback,1.6,
343,8500.0,Ford,Focus,2013,106.0,Petrol,Hatchback,1.0,100.0
344,1.0,Audi,Q5,2022,,Diesel,SUV,2.0,
346,12500.0,BMW,1-Series,2015,241401.0,Diesel,Hatchback,1.5,116.0
347,26960.0,Skoda,KAMIQ,2021,20.0,Petrol,SUV,1.0,
348,9995.0,Citroen,Dispatch,2016,168000.0,Diesel,Van,1.6,
349,11499.0,Volkswagen,Polo,2015,149668.62,Petrol,Hatchback,1.2,90.0
350,34950.0,BMW,5-Series,2018,104607.1,Diesel,Saloon,2.0,190.0
351,8750.0,Mercedes,E-Class,2010,261000.0,Diesel,Saloon,2.1,
352,150.0,Mercedes,200,1990,123568.0,Petrol,Estate,2.0,
353,17900.0,Ford,Fiesta,2019,55919.0,Petrol,Hatchback,1.1,85.0
354,10000.0,Vauxhall,Astra,2016,160934.0,Diesel,Hatchback,1.6,
355,9750.0,Volkswagen,Polo,2015,209214.2,Diesel,Hatchback,1.4,75.0
356,6750.0,Ford,Transit,2014,380.0,Diesel,Van,2.2,
357,12995.0,Hyundai,i20,2017,160766.6286,Diesel,Hatchback,1.4,
358,21995.0,Renault,Kadjar,2018,88465.0,Diesel,SUV,1.5,110.0
359,8000.0,Nissan,Other,1991,95000.0,Petrol,Coupe,1.0,
360,8000.0,BMW,5-Series,2011,227552.0,Diesel,Saloon,2.0,184.0
361,29950.0,BMW,5-Series,2016,104607.1,Diesel,Saloon,2.0,190.0
362,5000.0,Volkswagen,Caddy,2012,204000.0,Diesel,MPV,1.6,
363,6950.0,Mini,Cooper,2010,96000.0,Diesel,Hatchback,1.6,
364,17100.0,Nissan,NV300,2017,97505.0,Diesel,Van,1.6,
365,1000.0,Volkswagen,Golf,1996,,Petrol,Hatchback,1.6,
366,7500.0,Volkswagen,Golf,2011,312750.0,Diesel,Hatchback,2.0,140.0
367,10500.75,Toyota,Aygo X,2018,21943.3509,Petrol,Hatchback,1.0,
368,10400.0,Volkswagen,Golf,2014,159324.66,Diesel,Hatchback,1.6,105.0
369,22000.0,Volkswagen,Passat,2017,207000.0,Diesel,Saloon,2.0,150.0
370,82950.0,Mercedes,GLE-Class,2019,90611.0,Diesel,SUV,2.0,245.0
